pmid,title,text,date,citations
31786740,Evolving the pulmonary nodules diagnosis from classical approaches to deep learning-aided decision support: three decades' development course and future prospect,"Purpose:                    Lung cancer is the commonest cause of cancer deaths worldwide, and its mortality can be reduced significantly by performing early diagnosis and screening. Since the 1960s, driven by the pressing needs to accurately and effectively interpret the massive volume of chest images generated daily, computer-assisted diagnosis of pulmonary nodule has opened up new opportunities to relax the limitation from physicians' subjectivity, experiences and fatigue. And the fair access to the reliable and affordable computer-assisted diagnosis will fight the inequalities in incidence and mortality between populations. It has been witnessed that significant and remarkable advances have been achieved since the 1980s, and consistent endeavors have been exerted to deal with the grand challenges on how to accurately detect the pulmonary nodules with high sensitivity at low false-positive rate as well as on how to precisely differentiate between benign and malignant nodules. There is a lack of comprehensive examination of the techniques' development which is evolving the pulmonary nodules diagnosis from classical approaches to machine learning-assisted decision support. The main goal of this investigation is to provide a comprehensive state-of-the-art review of the computer-assisted nodules detection and benign-malignant classification techniques developed over three decades, which have evolved from the complicated ad hoc analysis pipeline of conventional approaches to the simplified seamlessly integrated deep learning techniques. This review also identifies challenges and highlights opportunities for future work in learning models, learning algorithms and enhancement schemes for bridging current state to future prospect and satisfying future demand.              Conclusion:                    It is the first literature review of the past 30 years' development in computer-assisted diagnosis of lung nodules. The challenges indentified and the research opportunities highlighted in this survey are significant for bridging current state to future prospect and satisfying future demand. The values of multifaceted driving forces and multidisciplinary researches are acknowledged that will make the computer-assisted diagnosis of pulmonary nodules enter into the main stream of clinical medicine and raise the state-of-the-art clinical applications as well as increase both welfares of physicians and patients. We firmly hold the vision that fair access to the reliable, faithful, and affordable computer-assisted diagnosis for early cancer diagnosis would fight the inequalities in incidence and mortality between populations, and save more lives.",2020 Jan;146(1):153-185.,7.0
31786504,Ethical considerations in artificial intelligence,"With artificial intelligence (AI) precipitously perched at the apex of the hype curve, the promise of transforming the disparate fields of healthcare, finance, journalism, and security and law enforcement, among others, is enormous. For healthcare - particularly radiology - AI is anticipated to facilitate improved diagnostics, workflow, and therapeutic planning and monitoring. And, while it is also causing some trepidation among radiologists regarding its uncertain impact on the demand and training of our current and future workforce, most of us welcome the potential to harness AI for transformative improvements in our ability to diagnose disease more accurately and earlier in the populations we serve.",2020 Jan;122:108768.,2.0
31786416,Machine learning with multiparametric magnetic resonance imaging of the breast for early prediction of response to neoadjuvant chemotherapy,"In patients with locally advanced breast cancer undergoing neoadjuvant chemotherapy (NAC), some patients achieve a complete pathologic response (pCR), some achieve a partial response, and some do not respond at all or even progress. Accurate prediction of treatment response has the potential to improve patient care by improving prognostication, enabling de-escalation of toxic treatment that has little benefit, facilitating upfront use of novel targeted therapies, and avoiding delays to surgery. Visual inspection of a patient's tumor on multiparametric MRI is insufficient to predict that patient's response to NAC. However, machine learning and deep learning approaches using a mix of qualitative and quantitative MRI features have recently been applied to predict treatment response early in the course of or even before the start of NAC. This is a novel field but the data published so far has shown promising results. We provide an overview of the machine learning and deep learning models developed to date, as well as discuss some of the challenges to clinical implementation.",2020 Feb;49:115-122.,3.0
31783696,Artificial Intelligence (AI) in Rare Diseases: Is the Future Brighter?,"The amount of data collected and managed in (bio)medicine is ever-increasing. Thus, there is a need to rapidly and efficiently collect, analyze, and characterize all this information. Artificial intelligence (AI), with an emphasis on deep learning, holds great promise in this area and is already being successfully applied to basic research, diagnosis, drug discovery, and clinical trials. Rare diseases (RDs), which are severely underrepresented in basic and clinical research, can particularly benefit from AI technologies. Of the more than 7000 RDs described worldwide, only 5% have a treatment. The ability of AI technologies to integrate and analyze data from different sources (e.g., multi-omics, patient registries, and so on) can be used to overcome RDs' challenges (e.g., low diagnostic rates, reduced number of patients, geographical dispersion, and so on). Ultimately, RDs' AI-mediated knowledge could significantly boost therapy development. Presently, there are AI approaches being used in RDs and this review aims to collect and summarize these advances. A section dedicated to congenital disorders of glycosylation (CDG), a particular group of orphan RDs that can serve as a potential study model for other common diseases and RDs, has also been included.",2019 Nov 27;10(12):978.,7.0
33386099,Proteochemometrics - recent developments in bioactivity and selectivity modeling,"Proteochemometrics is a machine learning based modeling approach relying on a combination of ligand and protein descriptors. With ongoing developments in machine learning and increases in public data the technique is more frequently applied in early drug discovery, typically in ligand-target binding prediction. Common applications include improvements to single target quantitative structure-activity relationship models, protein selectivity and promiscuity modeling, and large-scale deep learning approaches. The increase in predictive power using proteochemometrics is observed in multi-target bioactivity modeling, opening the door to more extensive studies covering whole protein families. On top of that, with deep learning fueling more complex and larger scale models, proteochemometrics allows faster and higher quality computational models supporting the design, make, test cycle.",2019 Dec;32-33:89-98.,
33386098,Selecting machine-learning scoring functions for structure-based virtual screening,"Interest in docking technologies has grown parallel to the ever increasing number and diversity of 3D models for macromolecular therapeutic targets. Structure-Based Virtual Screening (SBVS) aims at leveraging these experimental structures to discover the necessary starting points for the drug discovery process. It is now established that Machine Learning (ML) can strongly enhance the predictive accuracy of scoring functions for SBVS by exploiting large datasets from targets, molecules and their associations. However, with greater choice, the question of which ML-based scoring function is the most suitable for prospective use on a given target has gained importance. Here we analyse two approaches to select an existing scoring function for the target along with a third approach consisting in generating a scoring function tailored to the target. These analyses required discussing the limitations of popular SBVS benchmarks, the alternatives to benchmark scoring functions for SBVS and how to generate them or use them using freely-available software.",2019 Dec;32-33:81-87.,1.0
33386097,Practical considerations for active machine learning in drug discovery,"Active machine learning enables the automated selection of the most valuable next experiments to improve predictive modelling and hasten active retrieval in drug discovery. Although a long established theoretical concept and introduced to drug discovery approximately 15 years ago, the deployment of active learning technology in the discovery pipelines across academia and industry remains slow. With the recent re-discovered enthusiasm for artificial intelligence as well as improved flexibility of laboratory automation, active learning is expected to surge and become a key technology for molecular optimizations. This review recapitulates key findings from previous active learning studies to highlight the challenges and opportunities of applying adaptive machine learning to drug discovery. Specifically, considerations regarding implementation, infrastructural integration, and expected benefits are discussed. By focusing on these practical aspects of active learning, this review aims at providing insights for scientists planning to implement active learning workflows in their discovery pipelines.",2019 Dec;32-33:73-79.,
33386095,On failure modes in molecule generation and optimization,"There has been a wave of generative models for molecules triggered by advances in the field of Deep Learning. These generative models are often used to optimize chemical compounds towards particular properties or a desired biological activity. The evaluation of generative models remains challenging and suggested performance metrics or scoring functions often do not cover all relevant aspects of drug design projects. In this work, we highlight some unintended failure modes in molecular generation and optimization and how these evade detection by current performance metrics.",2019 Dec;32-33:55-63.,
33386093,The art of atom descriptor design,"This review provides an overview of descriptions of atoms applied to the understanding of phenomena like chemical reactivity and selectivity, pKa values, Site of Metabolism prediction, or hydrogen bond strengths, but also the substitution of quantum mechanical calculations by machine learning models for energies, forces or even spectrosocopic properties and finally the fast calculation of atomic charges for force field parametrization. The descriptor space ranges from derivatives of the wavefunctions or electron density via quantum mechanics derived descriptors to classical descriptions of atoms and their embedding in a molecule. The common denominator for all approaches is the thorough understanding of the physics of the chemical problem that guided the design of the atom descriptor. Quantum mechanics (QM) and machine learning (ML) finally are converging to a new discipline, namely QM/ML.",2019 Dec;32-33:37-43.,1.0
31782286,Global perspective on carotid intima-media thickness and plaque: should the current measurement guidelines be revisited?,"Carotid intima-media thickness (cIMT) and carotid plaque (CP) currently act as risk predictors for CVD/Stroke risk assessment. Over 2000 articles have been published that cover either use cIMT/CP or alterations of cIMT/CP and additional image-based phenotypes to associate cIMT related markers with CVD/Stroke risk. These articles have shown variable results, which likely reflect a lack of standardization in the tools for measurement, risk stratification, and risk assessment. Guidelines for cIMT/CP measurement are influenced by major factors like the atherosclerosis disease itself, conventional risk factors, 10-year measurement tools, types of CVD/Stroke risk calculators, incomplete validation of measurement tools, and the fast pace of computer technology advancements. This review discusses the following major points: 1) the American Society of Echocardiography and Mannheim guidelines for cIMT/CP measurements; 2) forces that influence the guidelines; and 3) calculators for risk stratification and assessment under the influence of advanced intelligence methods. The review also presents the knowledge-based learning strategies such as machine and deep learning which may play a future role in CVD/stroke risk assessment. We conclude that both machine learning and non-machine learning strategies will flourish for current and 10-year CVD/Stroke risk prediction as long as they integrate image-based phenotypes with conventional risk factors.",2019 Dec;38(6):451-465.,5.0
31781215,Artificial Intelligence in Interventional Radiology: A Literature Review and Future Perspectives,"The term ""artificial intelligence"" (AI) includes computational algorithms that can perform tasks considered typical of human intelligence, with partial to complete autonomy, to produce new beneficial outputs from specific inputs. The development of AI is largely based on the introduction of artificial neural networks (ANN) that allowed the introduction of the concepts of ""computational learning models,"" machine learning (ML) and deep learning (DL). AI applications appear promising for radiology scenarios potentially improving lesion detection, segmentation, and interpretation with a recent application also for interventional radiology (IR) practice, including the ability of AI to offer prognostic information to both patients and physicians about interventional oncology procedures. This article integrates evidence-reported literature and experience-based perceptions to assist not only residents and fellows who are training in interventional radiology but also practicing colleagues who are approaching to locoregional mini-invasive treatments.",2019 Nov 3;2019:6153041.,2.0
31781015,Clinical Risk Score for Predicting Recurrence Following a Cerebral Ischemic Event,"Introduction: Recurrent stroke has a higher rate of death and disability. A number of risk scores have been developed to predict short-term and long-term risk of stroke following an initial episode of stroke or transient ischemic attack (TIA) with limited clinical utilities. In this paper, we review different risk score models and discuss their validity and clinical utilities. Methods: The PubMed bibliographic database was searched for original research articles on the various risk scores for risk of stroke following an initial episode of stroke or TIA. The validation of the models was evaluated by examining the internal and external validation process as well as statistical methodology, the study power, as well as the accuracy and metrics such as sensitivity and specificity. Results: Different risk score models have been derived from different study populations. Validation studies for these risk scores have produced conflicting results. Currently, ABCD2 score with diffusion weighted imaging (DWI) and Recurrence Risk Estimator at 90 days (RRE-90) are the two acceptable models for short-term risk prediction whereas Essen Stroke Risk Score (ESRS) and Stroke Prognosis Instrument-II (SPI-II) can be useful for prediction of long-term risk. Conclusion: The clinical risk scores that currently exist for predicting short-term and long-term risk of recurrent cerebral ischemia are limited in their performance and clinical utilities. There is a need for a better predictive tool which can overcome the limitations of current predictive models. Application of machine learning methods in combination with electronic health records may provide platform for development of new-generation predictive tools.",2019 Nov 12;10:1106.,4.0
31779139,Machine Learning Approaches for the Prioritization of Genomic Variants Impacting Pre-mRNA Splicing,"Defects in pre-mRNA splicing are frequently a cause of Mendelian disease. Despite the advent of next-generation sequencing, allowing a deeper insight into a patient's variant landscape, the ability to characterize variants causing splicing defects has not progressed with the same speed. To address this, recent years have seen a sharp spike in the number of splice prediction tools leveraging machine learning approaches, leaving clinical geneticists with a plethora of choices for in silico analysis. In this review, some basic principles of machine learning are introduced in the context of genomics and splicing analysis. A critical comparative approach is then used to describe seven recent machine learning-based splice prediction tools, revealing highly diverse approaches and common caveats. We find that, although great progress has been made in producing specific and sensitive tools, there is still much scope for personalized approaches to prediction of variant impact on splicing. Such approaches may increase diagnostic yields and underpin improvements to patient care.",2019 Nov 26;8(12):1513.,4.0
31779133,A Survey on Machine-Learning Techniques for UAV-Based Communications,"Unmanned aerial vehicles (UAVs) will be an integral part of the next generation wireless communication networks. Their adoption in various communication-based applications is expected to improve coverage and spectral efficiency, as compared to traditional ground-based solutions. However, this new degree of freedom that will be included in the network will also add new challenges. In this context, the machine-learning (ML) framework is expected to provide solutions for the various problems that have already been identified when UAVs are used for communication purposes. In this article, we provide a detailed survey of all relevant research works, in which ML techniques have been used on UAV-based communications for improving various design and functional aspects such as channel modeling, resource management, positioning, and security.",2019 Nov 26;19(23):5170.,3.0
31777668,Artificial Intelligence Applications in Type 2 Diabetes Mellitus Care: Focus on Machine Learning Methods,"Objectives:                    The incidence of type 2 diabetes mellitus has increased significantly in recent years. With the development of artificial intelligence applications in healthcare, they are used for diagnosis, therapeutic decision making, and outcome prediction, especially in type 2 diabetes mellitus. This study aimed to identify the artificial intelligence (AI) applications for type 2 diabetes mellitus care.              Methods:                    This is a review conducted in 2018. We searched the PubMed, Web of Science, and Embase scientific databases, based on a combination of related mesh terms. The article selection process was based on Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA). Finally, 31 articles were selected after inclusion and exclusion criteria were applied. Data gathering was done by using a data extraction form. Data were summarized and reported based on the study objectives.              Results:                    The main applications of AI for type 2 diabetes mellitus care were screening and diagnosis in different stages. Among all of the reviewed AI methods, machine learning methods with 71% (n = 22) were the most commonly applied techniques. Many applications were in multi method forms (23%). Among the machine learning algorithms applications, support vector machine (21%) and naive Bayesian (19%) were the most commonly used methods. The most important variables that were used in the selected studies were body mass index, fasting blood sugar, blood pressure, HbA1c, triglycerides, low-density lipoprotein, high-density lipoprotein, and demographic variables.              Conclusions:                    It is recommended to select optimal algorithms by testing various techniques. Support vector machine and naive Bayesian might achieve better performance than other applications due to the type of variables and targets in diabetes-related outcomes classification.",2019 Oct;25(4):248-261.,5.0
31776737,Artificial intelligence and robotics: a combination that is changing the operating room,"Purpose:                    The aim of the current narrative review was to summarize the available evidence in the literature on artificial intelligence (AI) methods that have been applied during robotic surgery.              Methods:                    A narrative review of the literature was performed on MEDLINE/Pubmed and Scopus database on the topics of artificial intelligence, autonomous surgery, machine learning, robotic surgery, and surgical navigation, focusing on articles published between January 2015 and June 2019. All available evidences were analyzed and summarized herein after an interactive peer-review process of the panel.              Literature review:                    The preliminary results of the implementation of AI in clinical setting are encouraging. By providing a readout of the full telemetry and a sophisticated viewing console, robot-assisted surgery can be used to study and refine the application of AI in surgical practice. Machine learning approaches strengthen the feedback regarding surgical skills acquisition, efficiency of the surgical process, surgical guidance and prediction of postoperative outcomes. Tension-sensors on the robotic arms and the integration of augmented reality methods can help enhance the surgical experience and monitor organ movements.              Conclusions:                    The use of AI in robotic surgery is expected to have a significant impact on future surgical training as well as enhance the surgical experience during a procedure. Both aim to realize precision surgery and thus to increase the quality of the surgical care. Implementation of AI in master-slave robotic surgery may allow for the careful, step-by-step consideration of autonomous robotic surgery.",2020 Oct;38(10):2359-2366.,4.0
31772395,Intraoperative hypotension and its prediction,"Intraoperative hypotension (IOH) very commonly accompanies general anaesthesia in patients undergoing major surgical procedures. The development of IOH is unwanted, since it is associated with adverse outcomes such as acute kidney injury and myocardial injury, stroke and mortality. Although the definition of IOH is variable, harm starts to occur below a mean arterial pressure (MAP) threshold of 65 mmHg. The odds of adverse outcome increase for increasing duration and/or magnitude of IOH below this threshold, and even short periods of IOH seem to be associated with adverse outcomes. Therefore, reducing the hypotensive burden by predicting and preventing IOH through proactive appropriate treatment may potentially improve patient outcome. In this review article, we summarise the current state of the prediction of IOH by the use of so-called machine-learning algorithms. Machine-learning algorithms that use high-fidelity data from the arterial pressure waveform, may be used to reveal 'traits' that are unseen by the human eye and are associated with the later development of IOH. These algorithms can use large datasets for 'training', and can subsequently be used by clinicians for haemodynamic monitoring and guiding therapy. A first clinically available application, the hypotension prediction index (HPI), is aimed to predict an impending hypotensive event, and additionally, to guide appropriate treatment by calculated secondary variables to asses preload (dynamic preload variables), contractility (dP/dtmax), and afterload (dynamic arterial elastance, Eadyn). In this narrative review, we summarise the current state of the prediction of hypotension using such novel, automated algorithms and we will highlight HPI and the secondary variables provided to identify the probable origin of the (impending) hypotensive event.",2019 Nov;63(11):877-885.,4.0
31771246,Wearable-Sensor-based Detection and Prediction of Freezing of Gait in Parkinson's Disease: A Review,"Freezing of gait (FOG) is a serious gait disturbance, common in mid- and late-stage Parkinson's disease, that affects mobility and increases fall risk. Wearable sensors have been used to detect and predict FOG with the ultimate aim of preventing freezes or reducing their effect using gait monitoring and assistive devices. This review presents and assesses the state of the art of FOG detection and prediction using wearable sensors, with the intention of providing guidance on current knowledge, and identifying knowledge gaps that need to be filled and challenges to be considered in future studies. This review searched the Scopus, PubMed, and Web of Science databases to identify studies that used wearable sensors to detect or predict FOG episodes in Parkinson's disease. Following screening, 74 publications were included, comprising 68 publications detecting FOG, seven predicting FOG, and one in both categories. Details were extracted regarding participants, walking task, sensor type and body location, detection or prediction approach, feature extraction and selection, classification method, and detection and prediction performance. The results showed that increasingly complex machine-learning algorithms combined with diverse feature sets improved FOG detection. The lack of large FOG datasets and highly person-specific FOG manifestation were common challenges. Transfer learning and semi-supervised learning were promising for FOG detection and prediction since they provided person-specific tuning while preserving model generalization.",2019 Nov 24;19(23):5141.,7.0
31767810,Deep biomarkers of aging and longevity: from research to applications,"Multiple recent advances in machine learning enabled computer systems to exceed human performance in many tasks including voice, text, and speech recognition and complex strategy games. Aging is a complex multifactorial process driven by and resulting in the many minute changes transpiring at every level of the human organism. Deep learning systems trained on the many measurable features changing in time can generalize and learn the many biological processes on the population and individual levels. The deep age predictors can help advance aging research by establishing causal relationships in non-linear systems. Deep aging clocks can be used for identification of novel therapeutic targets, evaluating the efficacy of the various interventions, data quality control, data economics, prediction of health trajectories, mortality, and many other applications. Here we present the current state of development of the deep aging clocks in the context of the pharmaceutical research and development and clinical applications.",2019 Nov 25;11(22):10771-10780.,7.0
31767194,"The digital surgeon: How big data, automation, and artificial intelligence will change surgical practice","Exponential growth in computing power, data storage, and sensing technology has led to a world in which we can both capture and analyze incredible amounts of data. The evolution of machine learning has further advanced the ability of computers to develop insights from massive data sets that are beyond the capacity of human analysis. The convergence of computational power, data storage, connectivity, and Artificial Intelligence (AI) has led to health technologies that, to date, have focused on diagnostic areas such as radiology and pathology. The question remains how the digital revolution will translate in the realm of surgery. There are three main areas where the authors believe that AI could impact surgery in the near future: enhancement of training modalities, cognitive enhancement of the surgeon, and procedural automation. While the promise of Big Data, AI, and Automation is high, there have been unanticipated missteps in the use of such technologies that are worth considering as we evaluate how such technologies could/should be adopted in surgical practice. Surgeons must be prepared to adopt smarter training modalities, supervise the learning of machines that can enhance cognitive function, and ultimately oversee autonomous surgery without allowing for a decay in the surgeon's operating skills.",2020 Jan;55S:47-50.,3.0
31766686,Electronic Tongues for Inedible Media,"""Electronic tongues"", ""taste sensors"", and similar devices (further named as ""multisensor systems"", or MSS) have been studied and applied mostly for the analysis of edible analytes. This is not surprising, since the MSS development was sometimes inspired by the mainstream idea that they could substitute human gustatory tests. However, the basic principle behind multisensor systems-a combination of an array of cross-sensitive chemical sensors for liquid analysis and a machine learning engine for multivariate data processing-does not imply any limitations on the application of such systems for the analysis of inedible media. This review deals with the numerous MSS applications for the analysis of inedible analytes, among other things, for agricultural and medical purposes.",2019 Nov 22;19(23):5113.,1.0
31762579,A Review of Machine Learning Approaches in Assisted Reproductive Technologies,"Introduction:                    Assisted reproductive technologies (ART) are recent improvements in infertility treatment. However, there is no significant increase in pregnancy rates with the aid of ART. Costly and complex process of ART's makes them as challenging issues. Computational prediction models could predict treatment outcome, before the start of an ART cycle.              Aim:                    This review provides an overview on machine learning-based prediction models in ART.              Methods:                    This article was executed based on a literature review through scientific databases search such as PubMed, Scopus, Web of Science and Google Scholar.              Results:                    We identified 20 papers reporting on machine learning-based prediction models in IVF or ICSI settings. All of the models were validated only by internal validation. Therefore, external validation of the models and the impact analysis of them were the missing parts of the all studies.              Conclusion:                    Machine learning-based prediction models provide a clinical decision support tool for both clinicians and patients and lead to improvement in ART success rates.",2019 Sep;27(3):205-211.,5.0
31761063,Imaging of Central Nervous System Tumors Based on the 2016 World Health Organization Classification,"The 2016 World Health Organization Classification of Tumors of the Central Nervous System (CNS) incorporated well-established molecular markers known to drive tumorigenesis and tumor behavior into the existing classification of CNS tumors based on histopathologic appearance. This integrated classification system has led to a major restructuring of the diffuse gliomas. In addition, it resulted in the categorization of medulloblastomas into four distinct molecular subgroups. Radiogenomic studies have revealed key imaging differences between certain genetic groups and may aid in the diagnosis, longitudinal assessment of treatment response, and evaluation of tumor recurrence in patients with brain tumors.",2020 Feb;38(1):95-113.,3.0
31759575,Widespread Morphometric Abnormalities in Major Depression: Neuroplasticity and Potential for Biomarker Development,Major depression is common and debilitating. Identifying neurobiological subtypes that comprise the disorder and predict clinical outcome are key challenges. Genetic and environmental factors leading to major depression are expressed in neural structure and function. Volumetric decreases in gray matter have been demonstrated in corticolimbic circuits involved in emotion regulation. MR imaging observable abnormalities reflect cytoarchitectonic alterations within a local neuroendocrine milieu with systemic effects. Multivariate pattern analysis offers the potential to identify the neurobiological subtypes and predictors of clinical outcome. It is essential to characterize disease heterogeneity by incorporating data-driven inductive and symptom-based deductive approaches in an iterative process.,2020 Feb;30(1):85-95.,
31759574,Neuroimaging in Schizophrenia,"Schizophrenia is a chronic psychotic disorder with a lifetime prevalence of about 1%. Onset is typically in adolescence or early adulthood; characteristic symptoms include positive symptoms, negative symptoms, and impairments in cognition. Neuroimaging studies have shown substantive evidence of brain structural, functional, and neurochemical alterations that are more pronounced in the association cortex and subcortical regions. These abnormalities are not sufficiently specific to be of diagnostic value, but there may be a role for imaging techniques to provide predictions of outcome. Incorporating multimodal imaging datasets using machine learning approaches may offer better diagnostic and predictive value in schizophrenia.",2020 Feb;30(1):73-83.,4.0
31756920,"Bubbles, Foam Formation, Stability and Consumer Perception of Carbonated Drinks: A Review of Current, New and Emerging Technologies for Rapid Assessment and Control","Quality control, mainly focused on the assessment of bubble and foam-related parameters, is critical in carbonated beverages, due to their relationship with the chemical components as well as their influence on sensory characteristics such as aroma release, mouthfeel, and perception of tastes and aromas. Consumer assessment and acceptability of carbonated beverages are mainly based on carbonation, foam, and bubbles, as a flat carbonated beverage is usually perceived as low quality. This review focuses on three beverages: beer, sparkling water, and sparkling wine. It explains the characteristics of foam and bubble formation, and the traditional methods, as well as emerging technologies based on robotics and computer vision, to assess bubble and foam-related parameters. Furthermore, it explores the most common methods and the use of advanced techniques using an artificial intelligence approach to assess sensory descriptors both for descriptive analysis and consumers' acceptability. Emerging technologies, based on the combination of robotics, computer vision, and machine learning as an approach to artificial intelligence, have been developed and applied for the assessment of beer and, to a lesser extent, sparkling wine. This, has the objective of assessing the final products quality using more reliable, accurate, affordable, and less time-consuming methods. However, despite carbonated water being an important product, due to its increasing consumption, more research needs to focus on exploring more efficient, repeatable, and accurate methods to assess carbonation and bubble size, distribution and dynamics.",2019 Nov 20;8(12):596.,3.0
31756390,Data generation and network reconstruction strategies for single cell transcriptomic profiles of CRISPR-mediated gene perturbations,"Recent advances in single-cell RNA-sequencing (scRNA-seq) in combination with CRISPR/Cas9 technologies have enabled the development of methods for large-scale perturbation studies with transcriptional readouts. These methods are highly scalable and have the potential to provide a wealth of information on the biological networks that underlie cellular response. Here we discuss how to overcome several key challenges to generate and analyse data for the confident reconstruction of models of the underlying cellular network. Some challenges are generic, and apply to analysing any single-cell transcriptomic data, while others are specific to combined single-cell CRISPR/Cas9 data, in particular barcode swapping, knockdown efficiency, multiplicity of infection and potential confounding factors. We also provide a curated collection of published data sets to aid the development of analysis strategies. Finally, we discuss several network reconstruction approaches, including co-expression networks and Bayesian networks, as well as their limitations, and highlight the potential of Nested Effects Models for network reconstruction from scRNA-seq data. This article is part of a Special Issue entitled: Transcriptional Profiles and Regulatory Gene Networks edited by Dr. Dr. Federico Manuel Giorgi and Dr. Shaun Mahony.",2020 Jun;1863(6):194441.,1.0
31755816,Sepsis 2019: What Surgeons Need to Know,"The definition of sepsis continues to be as dynamic as the management strategies used to treat this. Sepsis-3 has replaced the earlier systemic inflammatory response syndrome (SIRS)-based diagnoses with the rapid Sequential Organ Failure Assessment (SOFA) score assisting in predicting overall prognosis with regards to mortality. Surgeons have an important role in ensuring adequate source control while recognizing the threat of carbapenem-resistance in gram-negative organisms. Rapid diagnostic tests are being used increasingly for the early identification of multi-drug-resistant organisms (MDROs), with a key emphasis on the multidisciplinary alert of results. Novel, higher generation antibiotic agents have been developed for resistance in ESKCAPE (Enterococcus faecium, Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, Pseudomonas aeruginosa, and Enterobacter species) organisms while surgeons have an important role in the prevention of spread. The Study to Optimize Peritoneal Infection Therapy (STOP-IT) trial has challenged the previous paradigm of length of antibiotic treatment whereas biomarkers such as procalcitonin are playing a prominent role in individualizing therapy. Several novel therapies for refractory septic shock, while still investigational, are gaining prominence rapidly (such as vitamin C) whereas others await further clinical trials. Management strategies presented as care bundles continue to be updated by the Surviving Sepsis Campaign, yet still remain controversial in its global adoption. We have broadened our temporal and epidemiologic perspective of sepsis by understanding it both as an acute, time-sensitive, life-threatening illness to a chronic condition that increases the risk of mortality up to five years post-discharge. Artificial intelligence, machine learning, and bedside scoring systems can assist the clinician in predicting post-operative sepsis. The public health role of the surgeon is key. This includes collaboration and multi-disciplinary antibiotic stewardship at a hospital level. It also requires controlling pharmaceutical sales and the unregulated dispensing of antibiotic agents globally through policy initiatives to control emerging resistance through prevention.",2020 Apr;21(3):195-204.,
31755802,An overview of deep learning algorithms and water exchange in colonoscopy in improving adenoma detection,"Introduction: Among the Gastrointestinal (GI) Endoscopy Editorial Board top 10 topics in advances in endoscopy in 2018, water exchange colonoscopy and artificial intelligence were both considered important advances. Artificial intelligence holds the potential to increase and water exchange significantly increases adenoma detection.Areas covered: The authors searched MEDLINE (1998-2019) using the following medical subject terms: water-aided, water-assisted and water exchange colonoscopy, adenoma, artificial intelligence, deep learning, computer-assisted detection, and neural networks. Additional related studies were manually searched from the reference lists of publications. Only fully published journal articles in English were reviewed. The latest date of the search was Aug10, 2019. Artificial intelligence, machine learning, and deep learning contribute to the promise of real-time computer-aided detection diagnosis. By emphasizing near-complete suction of infused water during insertion, water exchange provides salvage cleaning and decreases cleaning-related multi-tasking distractions during withdrawal, increasing adenoma detection. The review will address how artificial intelligence and water exchange can complement each other in improving adenoma detection during colonoscopy.Expert opinion: In 5 years, research on artificial intelligence will likely achieve real-time application and evaluation of factors contributing to quality colonoscopy. Better understanding and more widespread use of water exchange will be possible.",2019 Dec;13(12):1153-1160.,1.0
31754741,"Highlights of the special scientific sessions of the 46th Annual Scientific Meeting of the International Skeletal Society (ISS) 2019, Vancouver, Canada","This paper summarizes the highlights of the Scientific Sessions of the 46th Annual Scientific Meeting of the International Skeletal Society (ISS) which was hosted in Vancouver, Canada, in September 2019.",2020 Feb;49(2):333-335.,
31753325,A machine learning approach to predict surgical learning curves,"Background:                    Contemporary surgical training programs rely on the repetition of selected surgical motor tasks. Such methodology is inherently open ended with no control on the time taken to attain a set level of proficiency, given the trainees' intrinsic differences in initial skill levels and learning abilities. Hence, an efficient training program should aim at tailoring the surgical training protocols to each trainee. In this regard, a predictive model using information from the initial learning stage to predict learning curve characteristics should facilitate the whole surgical training process.              Methods:                    This paper analyzes learning curve data to train a multivariate supervised machine learning model. One factor is extracted to define the trainees' learning ability. An unsupervised machine learning model is also utilized for trainee classification. When established, the model can predict robustly the learning curve characteristics based on the first few trials.              Results:                    We show that the information present in the first 10 trials of surgical tasks can be utilized to predict the number of trials required to achieve proficiency (R2=0.72) and the final performance level (R2=0.89). Furthermore, only a single factor, learning index, is required to describe the learning process and to classify learners with unique learning characteristics.              Conclusion:                    Using machine learning models, we show, for the first time, that the first few trials contain sufficient information to predict learning curve characteristics and that a single factor can capture the complex learning behavior. Using such models holds the potential for personalization of training regimens, leading to greater efficiency and lower costs.",2020 Feb;167(2):321-327.,1.0
31749705,Applications of Deep-Learning in Exploiting Large-Scale and Heterogeneous Compound Data in Industrial Pharmaceutical Research,"In recent years, the development of high-throughput screening (HTS) technologies and their establishment in an industrialized environment have given scientists the possibility to test millions of molecules and profile them against a multitude of biological targets in a short period of time, generating data in a much faster pace and with a higher quality than before. Besides the structure activity data from traditional bioassays, more complex assays such as transcriptomics profiling or imaging have also been established as routine profiling experiments thanks to the advancement of Next Generation Sequencing or automated microscopy technologies. In industrial pharmaceutical research, these technologies are typically established in conjunction with automated platforms in order to enable efficient handling of screening collections of thousands to millions of compounds. To exploit the ever-growing amount of data that are generated by these approaches, computational techniques are constantly evolving. In this regard, artificial intelligence technologies such as deep learning and machine learning methods play a key role in cheminformatics and bio-image analytics fields to address activity prediction, scaffold hopping, de novo molecule design, reaction/retrosynthesis predictions, or high content screening analysis. Herein we summarize the current state of analyzing large-scale compound data in industrial pharmaceutical research and describe the impact it has had on the drug discovery process over the last two decades, with a specific focus on deep-learning technologies.",2019 Nov 5;10:1303.,6.0
